000000000000321,VACIO                                ,      3.35,      3.62,      0.00,      0.00,3.69,     2,1,000,S,S,000000000000321,
000000000000322,VACIO                                ,      3.83,      4.14,      0.00,      0.00,4.21,     3,1,000,S,S,000000000000322,
000000000000323,BARRICA SEMILLA                      ,      4.54,      5.05,      0.00,      0.00,4.99,     2,1,000,S,S,000000000000323,
000000000000324,BARRICA INTEGRAL                     ,      4.54,      5.05,      0.00,      0.00,4.99,     2,1,000,S,S,000000000000324,
000000000000325,R.H.INTEGRAL S/AZUCAR.               ,      4.26,      4.75,      0.00,      0.00,4.69,     2,1,000,S,S,000000000000325,
000000000000326,VACIO                                ,      3.79,      4.09,      0.00,      0.00,4.17,     2,1,000,S,S,000000000000326,
000000000000327,BIZCOCHO YOGUR GR.                   ,      4.34,      4.90,      0.00,      0.00,4.77,     2,1,000,S,S,000000000000327,
000000000000331,VACIO                                ,      3.97,      4.29,      0.00,      0.00,4.37,     3,1,000,S,S,000000000000331,
000000000000334,VACIO                                ,      3.59,      3.88,      0.00,      0.00,3.95,     2,1,000,S,S,000000000000334,
000000000000336,VACIO                                ,      3.12,      3.37,      0.00,      0.00,3.43,     3,1,000,S,S,000000000000336,
000000000000339,VACIO                                ,      3.43,      3.70,      0.00,      0.00,3.77,     3,1,000,S,S,000000000000339,
000000000000340,VACIO                                ,      3.67,      3.96,      0.00,      0.00,4.04,     3,1,000,S,S,000000000000340,
000000000000346,VACIO                                ,      3.67,      3.96,      0.00,      0.00,4.04,     2,1,000,S,S,000000000000346,
000000000000351,PALMERA HOJALDRE S/E.                ,      3.46,      3.85,      0.00,      0.00,3.81,     3,1,000,S,S,000000000000351,
000000000000352,LAZO HOJALDRE S/E                    ,      3.57,      3.97,      0.00,      0.00,3.93,     2,1,000,S,S,000000000000352,
000000000000353,VACIO                                ,      2.91,      3.13,      0.00,      0.00,3.2,     2,1,000,S,S,000000000000353,
000000000000354,PALMERA GIGANTE                      ,      6.14,      6.83,      0.00,      0.00,6.75,     1,1,000,S,S,000000000000354,
000000000000360,TRIANGULOS CABELLO GR.               ,      3.61,      4.02,      0.00,      0.00,3.97,     2,1,000,S,S,000000000000360,
000000000000364,PALMERA CHOCOLATE GR.                ,      4.15,      4.62,      0.00,      0.00,4.57,     2,1,000,S,S,000000000000364,
000000000000365,BARRITA INT.CEREAL CHOCO             ,      5.15,      5.74,      0.00,      0.00,5.67,     3,1,000,S,S,000000000000365,
000000000000366,VACIO                                ,      7.82,      8.45,      0.00,      0.00,8.6,     1,1,005,S,S,000000000000000,
000000000000368,MANINAS CHOCO GR.                    ,      4.23,      4.57,      0.00,      0.00,4.65,     2,1,000,S,S,000000000000368,
000000000000370,PASTAS THE GRANEL                    ,      4.77,      5.31,      0.00,      0.00,5.25,     2,1,000,S,S,000000000000370,
000000000000372,HOJALDRES BDJ.ARRUABARRENA           ,      1.22,      1.36,      0.00,      0.00,1.34,     8,1,000,S,S,000000000000372,
000000000000374,SFOGLIATINE ARRUABARRENA             ,      4.22,      4.70,      0.00,      0.00,4.64,     1,1,002,S,S,000000000000000,
000000000000385,CROISSANT R/CHOC.2UND                ,      0.75,      0.82,      0.00,      0.00,0.83,     8,1,000,S,S,000000000000385,
000000000000386,PALMERA CHOCO/BLANCO                 ,      4.15,      4.62,      0.00,      0.00,4.57,     2,1,000,S,S,000000000000386,
000000000000401,VACIO                                ,      4.17,      4.50,      0.00,      0.00,4.59,     2,1,005,S,S,000000000000646,
000000000000405,COC INDIVIDUAL ENV.                  ,      3.76,      4.19,      0.00,      0.00,4.14,     2,1,000,S,S,000000000000405,
000000000000406,COC 500 GRAMOS                       ,      1.80,      2.01,      0.00,      0.00,1.98,     8,1,000,S,S,000000000000406,
000000000000409,VACIO                                ,      3.66,      3.95,      0.00,      0.00,4.03,     2,1,000,S,S,000000000000409,
000000000000410,VACIO                                ,      3.66,      3.95,      0.00,      0.00,4.03,     2,1,000,S,S,000000000000410,
000000000000412,VACIO                                ,      3.66,      4.07,      0.00,      0.00,4.03,     2,1,000,S,S,000000000000412,
000000000000426,VACIO                                ,      3.84,      4.15,      0.00,      0.00,4.22,     1,1,000,S,S,000000000000426,
000000000000427,VACIO                                ,      0.68,      0.73,      0.00,      0.00,0.75,    12,1,000,S,S,000000000000427,
000000000000428,VACIO                                ,      0.68,      0.76,      0.00,      0.00,0.75,    18,1,000,S,S,000000000000428,
000000000000461,ROLLO GLASSA ANIS S/E.               ,      4.47,      4.98,      0.00,      0.00,4.92,     2,1,000,S,S,000000000000461,
000000000000462,ROLLO INTEGRAL BOTE                  ,      3.82,      4.25,      0.00,      0.00,4.2,     3,1,000,S,S,000000000000462,
