00,.
01,SUPERMERCADO ALIMENTACION
02,PANADERIAS
03,P.COMERCIO ALIMENTACION
04,FRUTOS SECOS
05,FRUTERIAS
06,PASTELERIA CROISSANTERIA
07,COLEGIOS
08,CARNICERIAS
09,CAFETERIAS
10,PARTICULARES
11,CONGELADOS
12,VARIOS
17,VENTAS FABRICANTES
21,FTE.PRODTOS.NAVIDAD
22,GENERAL
23,PRODTOS.NAVIDAD PATRIARCA
