01104,A000136,31.07
01104,A004179,28.15
01115,A000114,9.24
01114,A000117,41.2
01125,A000138,9.24
01125,A004160,52.42
01130,A000090,51.73
01130,A000091,39.87
01130,A000122,13.23
01130,A004209,37.48
01131,A004208,12.06
01133,A000119,36.7
01133,A004207,38.31
01135,A000137,30.12
01135,A004180,23.76
01145,A000088,43.48
01145,A000118,48.7
01145,A004181,27.8
01145,A004206,38.21
01180,A004148,74.11
02109,A000132,20.16
02109,A004174,23.16
02110,A000128,131.33
02110,A000129,22.55
02111,A000131,30.88
02111,A004175,63.26
02111,A004176,11.94
02112,A000130,79.62
02112,A004172,81.88
02112,A004173,19.44
02125,A000134,57.83
02125,A000135,12.45
02125,A004177,25.43
02125,A004178,4.09
02131,A000086,10.3
02131,A000115,28.45
02131,A000120,43.42
02131,A004203,28.57
03182,A000125,18.42
03182,A004201,24.25
03182,A004202,9.03
03267,A000139,23.76
03267,A004184,9.84
03268,A000140,9.7
03268,A004185,46.19
03802,A004197,7.86
03805,A000084,20.49
03805,A004154,86
03805,A004198,38.91
03807,A004196,12.78
03808,A000077,52.94
03808,A004192,50.8
03809,A000083,58.02
03809,A000095,11.6
03809,A004195,55.1
03930,A000075,28.57
03932,A000080,16.4
03932,A004191,19.34
03935,A000078,17.69
03935,A000079,13.65
03952,A000082,42.2
03952,A004164,458.81
03952,A004194,33.58
04106,A000123,27.78
04106,A004204,17.54
04107,A000093,18.96
04107,A004212,11.94
04107,A004213,18.1
04134,A000121,45.46
04136,A000124,7.86
04136,A004199,31.05
04136,A004200,20.7
04194,A004149,16.08
05203,A004183,19.16
05205,A004217,17.26
05208,A000098,17.38
05321,A000099,30.13
05427,A000100,7.56
05429,A000102,15.12
05429,A000141,16.8
05429,A004143,20.85
05429,A004144,20.85
05429,A004145,50.98
05429,A004158,175.82
05429,A004159,132.05
05429,A004162,48.04
05429,A004168,97.2
05429,A004170,59.55
05429,A004182,15.12
05430,A000101,41.83
05430,A000127,14.02
05430,A004161,63.24
05430,A004167,25
05541,A000105,17.58
05541,A004216,22.5
05542,A000094,33.97
05542,A004214,83.28
05543,A000109,4.92
05543,A004157,88.6
05559,A000113,16.47
05650,A000106,8.93
05650,A004166,109.45
05651,A000107,16.89
05651,A004156,35.44
09999,A000073,24.9
09999,A000092,28.17
09999,A000096,18.1
09999,A000103,8.23
09999,A000104,8.23
09999,A000108,7.68
09999,A000126,27.43
09999,A004150,30.51
09999,A004155,46.2
09999,A004165,35.44
09999,A004186,21.84
09999,A004188,47.18
05437,A004147,25.42
03930,A000075,28.57
02025,A000133,74.75
03910,A000081,18.78
03910,A004193,20.04
04131,A004205,65.16
05532,A004146,47.43
01146,A000089,27.45
03912,A000072,15.99
03912,A004187,20.4
03914,A000076,88.1
03914,A004153,159.48
03914,A004163,494.25
03914,A004171,35.44
03914,A004190,67.91
03908,A000074,8.97
03908,A004189,41.88
05558,A000110,19.92
05558,A000111,20.74
05558,A000112,17.29
05208,A000098,17.38
05428,A000097,20.28
04108,A000085,8.2
04108,A004215,12.3
