VCC
A,A000022,02,2014-03-26,00001,01,0.00,4.21,0.00,4.21,0.42,0.00,2.00,12:33:35,,A,0.00,0.00,0.00,0.00,0.00,0.00,4.64,10.00,1.40,1
N,N000002,02,2014-03-26,00001,01,0.00,3.70,0.00,3.70,0.37,0.00,1.00,13:01:19,,A,0.00,0.00,0.00,0.00,0.00,0.00,4.07,10.00,1.40,1
F,F000006,02,2014-03-26,00001,01,0.00,0.64,0.00,0.64,0.06,0.00,0.70,13:03:29,,A,0.00,0.00,0.00,0.00,0.00,0.00,0.7,10.00,1.40,1
VLL
A,A000022,00000001,000000000000001,"TERMICO 80X65*12                     ",2.000,0.75,0.00,0.00,2.00,0.000,00000000,1.65,0.00,1.50,0.00,0.00,1
A,A000022,00000002,000000000000002,"ESCOBILLEROS                         ",1.000,0.55,0.00,0.00,1.00,0.000,00000000,0.61,0.00,0.55,0.00,0.00,1
A,A000022,00000003,000000000000003,"TERMICO 57X55X12                     ",4.000,0.54,0.00,0.00,4.00,0.000,00000000,2.38,0.00,2.16,0.00,0.00,1
N,N000002,00000001,000000000000001,"TERMICO 80X65*12                     ",3.000,0.91,0.00,0.00,3.00,0.000,123456789,2.73,0.00,2.48,0.00,0.00,1
N,N000002,00000002,000000000000002,"ESCOBILLEROS                         ",2.000,0.67,0.00,0.00,2.00,0.000,00000000,1.34,0.00,1.22,0.00,0.00,1
F,F000006,00000001,000000000000001,"TERMICO 80X65*12                     ",1.000,0.75,15.00,0.00,1.00,0.000,00260314,0.70,0.00,0.64,0.00,0.00,1
COB
2014-03-26,12:33:35,A000022,0001,00001,01,01,2.00,00
2014-03-26,12:33:42,A000022,0002,00001,01,01,2.64,02
2014-03-26,13:01:19,N000002,0001,00001,01,01,1.00,00
2014-03-26,13:02:53,N000002,0002,00001,01,01,3.07,02
2014-03-26,13:03:29,F000006,0001,00001,00,01,0.70,00
PEN
00001,A000022,0.00
00001,N000002,0.00
00001,F000006,0.00
CLI
CCC
Z000035,2014-03-26,01,01,02,65.000,10.000,C
Z000036,2014-03-26,01,01,02,30.000,0.000,C
CLL
Z000035,00001,000000000000001,,10.000,10.000
Z000035,00002,000000000000002,,0.000,50.000
Z000035,00003,000000000000003,,0.000,5.000
Z000036,00001,000000000000007,,0.000,25.000
Z000036,00002,000000000000001,12345678,0.000,5.000
ART
