000,PRTOS.PASTELERIA FR:0
001,VARIOS
002,FERRER/ARQUELLADAS
003,PRTOS.NAVIDAD P:3
004,PRTOS.PASTELERIA A:4
005,PRTOS.PASTELERIA A:5
006,PRTOS.PASTELERIA S/J
007,PRODUC.PASTE. J.7
008,DULCESOL
009,PRODUCTOS LACTEOS A:9
010,PASTELERIA DIARIA
